date,OT
2017/9/16 14:27,1
2017/9/16 15:27,0.968558845
2017/9/16 16:27,0.876279844
2017/9/16 17:27,0.729054989
2017/9/16 18:27,0.536204872
2017/9/16 19:27,0.309881702
2017/9/16 20:27,0.064298115
2017/9/16 21:27,-0.185168959
2017/9/16 22:27,-0.422942656
2017/9/16 23:27,-0.634218217
2017/9/17 0:27,-0.805882095
2017/9/17 1:27,-0.927321253
2017/9/17 2:27,-0.991073027
2017/9/17 3:27,-0.993276166
2017/9/17 4:27,-0.93389628
2017/9/17 5:27,-0.81671312
2017/9/17 6:27,-0.649071908
2017/9/17 7:27,-0.441415554
2017/9/17 8:27,-0.206627952
2017/9/17 9:27,0.040769963
2017/9/17 10:27,0.285520981
2017/9/17 11:27,0.512573175
2017/9/17 12:27,0.70800413
2017/9/17 13:27,0.85987119
2017/9/17 14:27,0.958936038
2017/9/17 15:27,0.999219981
2017/9/17 16:27,0.978356998
2017/9/17 17:27,0.897724212
2017/9/17 18:27,0.762343191
2017/9/17 19:27,0.580559494
2017/9/17 20:27,0.363521355
2017/9/17 21:27,0.124490468
2017/9/17 22:27,-0.12197221
2017/9/17 23:27,-0.360895428
2017/9/18 0:27,-0.577807003
2017/9/18 1:27,-0.759608364
2017/9/18 2:27,-0.895361582
2017/9/18 3:27,-0.97694183
2017/9/18 4:27,-0.99951674
2017/9/18 5:27,-0.961824799
2017/9/18 6:27,-0.866237259
2017/9/18 7:27,-0.71860118
2017/9/18 8:27,-0.527874395
2017/9/18 9:27,-0.305575585
2017/9/18 10:27,-0.065083611
2017/9/18 11:27,0.179171013
2017/9/18 12:27,0.412573453
2017/9/18 13:27,0.621198495
2017/9/18 14:27,0.792638878
2017/9/18 15:27,0.916738915
2017/9/18 16:27,0.986190301
2017/9/18 17:27,0.996955502
2017/9/18 18:27,0.948494657
2017/9/18 19:27,0.84378374
2017/9/18 20:27,0.689124201
2017/9/18 21:27,0.493756672
2017/9/18 22:27,0.269302797
2017/9/18 23:27,0.029069255
2017/9/19 0:27,-0.2127441
2017/9/19 1:27,-0.441884693
2017/9/19 2:27,-0.644886485
2017/9/19 3:27,-0.809858671
2017/9/19 4:27,-0.927177808
2017/9/19 5:27,-0.990043357
2017/9/19 6:27,-0.994864924
2017/9/19 7:27,-0.941459599
2017/9/19 8:27,-0.833049025
2017/9/19 9:27,-0.676057643
2017/9/19 10:27,-0.479725117
2017/9/19 11:27,-0.255556713
2017/9/19 12:27,-0.016644632
2017/9/19 13:27,0.223099422
2017/9/19 14:27,0.449755302
2017/9/19 15:27,0.65020179
2017/9/19 16:27,0.812873516
2017/9/19 17:27,0.928423917
2017/9/19 18:27,0.990256529
2017/9/19 19:27,0.994894739
2017/9/19 20:27,0.942169699
2017/9/19 21:27,0.835216733
2017/9/19 22:27,0.680281638
2017/9/19 23:27,0.486349232
2017/9/20 0:27,0.264616595
2017/9/20 1:27,0.027842197
2017/9/20 2:27,-0.210391025
2017/9/20 3:27,-0.436455918
2017/9/20 4:27,-0.637459841
2017/9/20 5:27,-0.801977416
2017/9/20 6:27,-0.920695833
2017/9/20 7:27,-0.986936492
2017/9/20 8:27,-0.997024118
2017/9/20 9:27,-0.950483338
2017/9/20 10:27,-0.850052659
2017/9/20 11:27,-0.701516234
2017/9/20 12:27,-0.513364082
2017/9/20 13:27,-0.296301095
2017/9/20 14:27,-0.062633512
2017/9/20 15:27,0.174431724
2017/9/20 16:27,0.401534699
2017/9/20 17:27,0.605914949
2017/9/20 18:27,0.776126245
2017/9/20 19:27,0.902673831
